date,state,district,pincode,bio_age_5_17,bio_age_17_,city
17-06-2025,Uttar Pradesh,Bareilly,262001,0,1,bareilly
26-06-2025,Uttar Pradesh,Bareilly,262201,0,1,bareilly
13-06-2025,Uttar Pradesh,Bareilly,262203,0,1,bareilly
08-06-2025,Uttar Pradesh,Bareilly,243506,0,10,bareilly
07-06-2025,Uttar Pradesh,Bareilly,243501,1,13,bareilly
13-07-2025,Uttar Pradesh,Bareilly,243402,2,6,bareilly
13-07-2025,Uttar Pradesh,Bareilly,243505,3,15,bareilly
30-06-2025,Uttar Pradesh,Bareilly,243407,0,12,bareilly
03-08-2025,Uttar Pradesh,Bareilly,243203,3,10,bareilly
03-08-2025,Uttar Pradesh,Bareilly,262122,0,1,bareilly
28-07-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
27-07-2025,Uttar Pradesh,Bareilly,243301,1,3,bareilly
25-09-2025,Uttar Pradesh,Bareilly,243005,25,21,bareilly
25-09-2025,Uttar Pradesh,Bareilly,243122,52,23,bareilly
25-09-2025,Uttar Pradesh,Bareilly,243123,32,16,bareilly
25-09-2025,Uttar Pradesh,Bareilly,243203,45,12,bareilly
25-09-2025,Uttar Pradesh,Bareilly,243401,9,3,bareilly
25-09-2025,Uttar Pradesh,Bareilly,243402,16,6,bareilly
25-09-2025,Uttar Pradesh,Bareilly,243407,0,3,bareilly
26-09-2025,Uttar Pradesh,Bareilly,243005,22,17,bareilly
26-09-2025,Uttar Pradesh,Bareilly,243503,113,29,bareilly
01-10-2025,Uttar Pradesh,Bareilly,243005,5,18,bareilly
01-10-2025,Uttar Pradesh,Bareilly,243504,12,9,bareilly
01-10-2025,Uttar Pradesh,Bareilly,243505,30,11,bareilly
27-09-2025,Uttar Pradesh,Bareilly,243001,46,40,bareilly
27-09-2025,Uttar Pradesh,Bareilly,243006,8,3,bareilly
27-09-2025,Uttar Pradesh,Bareilly,243203,30,6,bareilly
27-09-2025,Uttar Pradesh,Bareilly,243303,16,8,bareilly
27-09-2025,Uttar Pradesh,Bareilly,243401,19,7,bareilly
24-09-2025,Uttar Pradesh,Bareilly,243005,34,24,bareilly
24-09-2025,Uttar Pradesh,Bareilly,243122,46,19,bareilly
24-09-2025,Uttar Pradesh,Bareilly,243201,165,51,bareilly
03-10-2025,Uttar Pradesh,Bareilly,243001,6,9,bareilly
03-10-2025,Uttar Pradesh,Bareilly,243006,2,3,bareilly
03-10-2025,Uttar Pradesh,Bareilly,243123,2,1,bareilly
03-10-2025,Uttar Pradesh,Bareilly,243201,13,11,bareilly
03-10-2025,Uttar Pradesh,Bareilly,243403,1,0,bareilly
03-10-2025,Uttar Pradesh,Bareilly,243501,3,0,bareilly
03-10-2025,Uttar Pradesh,Bareilly,243503,2,9,bareilly
03-10-2025,Uttar Pradesh,Bareilly,243505,10,7,bareilly
04-10-2025,Uttar Pradesh,Bareilly,243005,2,1,bareilly
04-10-2025,Uttar Pradesh,Bareilly,243123,1,1,bareilly
04-10-2025,Uttar Pradesh,Bareilly,243401,0,1,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243001,90,50,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243123,52,29,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243202,92,19,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243203,59,16,bareilly
