date,state,district,pincode,bio_age_5_17,bio_age_17_
14-12-2025,Delhi,New Delhi,110001,0,1
16-12-2025,Delhi,New Delhi,110001,6,4
20-12-2025,Delhi,New Delhi,110023,0,1
19-12-2025,Delhi,New Delhi,110001,11,3
04-12-2025,Delhi,New Delhi,110001,7,5
04-12-2025,Delhi,New Delhi,110021,2,6
03-12-2025,Delhi,New Delhi,110001,3,3
03-12-2025,Delhi,New Delhi,110021,1,3
07-12-2025,Delhi,New Delhi,110021,1,0
06-12-2025,Delhi,New Delhi,110023,1,0
11-12-2025,Delhi,New Delhi,110001,6,5
11-12-2025,Delhi,New Delhi,110023,0,1
21-12-2025,Delhi,New Delhi,110021,2,0
21-12-2025,Delhi,New Delhi,110023,1,4
22-12-2025,Delhi,New Delhi,110001,9,10
09-10-2025,Delhi,New Delhi,110021,4,4
24-10-2025,Delhi,New Delhi,110001,4,7
24-10-2025,Delhi,New Delhi,110021,4,1
25-10-2025,Delhi,New Delhi,110021,2,2
04-11-2025,Delhi,New Delhi,110001,1,11
04-11-2025,Delhi,New Delhi,110011,0,1
17-11-2025,Delhi,New Delhi,110021,1,3
18-11-2025,Delhi,New Delhi,110001,7,3
28-11-2025,Delhi,New Delhi,110001,6,5
28-11-2025,Delhi,New Delhi,110021,6,1
07-11-2025,Delhi,New Delhi,110021,3,1
27-11-2025,Delhi,New Delhi,110023,0,1
26-11-2025,Delhi,New Delhi,110001,3,4
10-12-2025,Delhi,New Delhi,110001,4,7
02-12-2025,Delhi,New Delhi,110001,3,7
13-12-2025,Delhi,New Delhi,110001,12,5
23-12-2025,Delhi,New Delhi,110001,9,9
26-12-2025,Delhi,New Delhi,110001,7,2
03-01-2026,Delhi,New Delhi,110021,1,0
01-01-2026,Delhi,New Delhi,110023,0,1
25-12-2025,Delhi,New Delhi,110023,0,1
30-11-2025,Delhi,New Delhi,110023,0,1
17-11-2025,Delhi,New Delhi,110023,2,0
19-11-2025,Delhi,New Delhi,110023,0,1
19-12-2025,Delhi,New Delhi,110011,0,1
13-12-2025,Delhi,New Delhi,110023,0,1
07-12-2025,Delhi,New Delhi,110023,0,1
09-12-2025,Delhi,New Delhi,110023,0,6
03-11-2025,Delhi,New Delhi,110023,0,1
05-11-2025,Delhi,New Delhi,110021,1,5
09-11-2025,Delhi,New Delhi,110023,0,1
12-11-2025,Delhi,New Delhi,110011,0,1
05-10-2025,Delhi,New Delhi,110021,0,2
23-09-2025,Delhi,New Delhi,110023,0,2
27-09-2025,Delhi,New Delhi,110023,0,1
19-10-2025,Delhi,New Delhi,110021,0,2
27-08-2025,Delhi,New Delhi,110023,0,2
22-08-2025,Delhi,New Delhi,110011,0,1
22-08-2025,Delhi,New Delhi,110023,0,1
09-09-2025,Delhi,New Delhi,110011,1,1
14-08-2025,Delhi,New Delhi,110021,0,3
11-09-2025,Delhi,New Delhi,110023,0,3
10-09-2025,Delhi,New Delhi,110011,1,0
10-08-2025,Delhi,New Delhi,110001,0,2
12-08-2025,Delhi,New Delhi,110023,0,2
08-08-2025,Delhi,New Delhi,110011,0,2
07-10-2025,Delhi,New Delhi,110001,2,2
06-10-2025,Delhi,New Delhi,110021,3,4
10-10-2025,Delhi,New Delhi,110021,2,3
09-10-2025,Delhi,New Delhi,110001,1,6
03-11-2025,Delhi,New Delhi,110001,3,5
15-11-2025,Delhi,New Delhi,110001,17,8
14-11-2025,Delhi,New Delhi,110011,0,1
14-11-2025,Delhi,New Delhi,110021,6,5
13-10-2025,Delhi,New Delhi,110011,0,2
13-10-2025,Delhi,New Delhi,110021,4,4
17-10-2025,Delhi,New Delhi,110001,1,2
12-11-2025,Delhi,New Delhi,110001,8,4
12-11-2025,Delhi,New Delhi,110023,0,1
28-10-2025,Delhi,New Delhi,110001,2,6
28-10-2025,Delhi,New Delhi,110021,2,1
30-10-2025,Delhi,New Delhi,110021,2,7
06-11-2025,Delhi,New Delhi,110001,3,6
19-11-2025,Delhi,New Delhi,110021,2,3
21-11-2025,Delhi,New Delhi,110011,0,1
23-11-2025,Delhi,New Delhi,110001,4,0
08-10-2025,Delhi,New Delhi,110001,2,4
08-10-2025,Delhi,New Delhi,110021,20,3
16-10-2025,Delhi,New Delhi,110001,2,5
16-10-2025,Delhi,New Delhi,110023,0,1
27-10-2025,Delhi,New Delhi,110021,2,4
04-12-2025,Delhi,New Delhi,110011,0,1
02-12-2025,Delhi,New Delhi,110023,0,1
08-12-2025,Delhi,New Delhi,110001,3,5
06-12-2025,Delhi,New Delhi,110021,11,4
25-11-2025,Delhi,New Delhi,110001,5,9
25-11-2025,Delhi,New Delhi,110021,2,2
27-11-2025,Delhi,New Delhi,110021,2,4
10-12-2025,Delhi,New Delhi,110021,6,6
12-12-2025,Delhi,New Delhi,110001,6,7
12-12-2025,Delhi,New Delhi,110021,0,4
04-06-2025,Delhi,New Delhi,110011,1,2
21-10-2025,Delhi,New Delhi,110021,2,3
21-10-2025,Delhi,New Delhi,110023,0,1
23-05-2025,Delhi,New Delhi,110023,0,1
01-06-2025,Delhi,New Delhi,110001,2,3
19-10-2025,Delhi,New Delhi,110001,0,3
20-05-2025,Delhi,New Delhi,110023,1,3
27-06-2025,Delhi,New Delhi,110023,0,1
08-07-2025,Delhi,New Delhi,110011,1,2
26-07-2025,Delhi,New Delhi,110011,1,0
11-07-2025,Delhi,New Delhi,110023,0,1
23-08-2025,Delhi,New Delhi,110021,6,3
28-08-2025,Delhi,New Delhi,110001,6,5
04-09-2025,Delhi,New Delhi,110001,14,4
09-09-2025,Delhi,New Delhi,110001,2,12
11-08-2025,Delhi,New Delhi,110001,8,5
11-08-2025,Delhi,New Delhi,110021,5,5
26-08-2025,Delhi,New Delhi,110001,1,3
13-08-2025,Delhi,New Delhi,110021,1,3
16-08-2025,Delhi,New Delhi,110001,1,0
16-08-2025,Delhi,New Delhi,110021,0,1
